arena,city,team,team_code,zip,lat,lon
American Airlines Center,"Dallas, Texas",Dallas Mavericks,DAL,75219,32.790556,-96.810278
Ball Arena,"Denver, Colorado",Denver Nuggets,DEN,80204,39.748611,-105.0075
Barclays Center,"Brooklyn, New York",Brooklyn Nets,BKN,11217,40.682661,-73.975225
Capital One Arena,"Washington, D.C.",Washington Wizards,WAS,20004,38.898056,-77.020833
Chase Center,"San Francisco, California",Golden State Warriors,GSW,94158,37.768056,-122.3875
Crypto.com Arena,"Los Angeles, California",Los Angeles Lakers,LAL,90015,34.043056,-118.267222
Delta Center,"Salt Lake City, Utah",Utah Jazz,UTA,84101,40.768333,-111.901111
FedExForum,"Memphis, Tennessee",Memphis Grizzlies,MEM,38103,35.138333,-90.050556
Fiserv Forum,"Milwaukee, Wisconsin",Milwaukee Bucks,MIL,53203,43.045028,-87.918167
Footprint Center,"Phoenix, Arizona",Phoenix Suns,PHX,85004,33.445833,-112.071389
Frost Bank Center,"San Antonio, Texas",San Antonio Spurs,SAS,78219,29.426944,-98.4375
Gainbridge Fieldhouse,"Indianapolis, Indiana",Indiana Pacers,IND,46204,39.763889,-86.155556
Golden 1 Center,"Sacramento, California",Sacramento Kings,SAC,95814,38.580361,-121.499611
Crypto.com Arena,"Los Angeles, California",Los Angeles Clippers,LAC,90015,34.043056,-118.267222
Kaseya Center,"Miami, Florida",Miami Heat,MIA,33132,25.781389,-80.188056
Kia Center,"Orlando, Florida",Orlando Magic,ORL,32801,28.539167,-81.383611
Little Caesars Arena,"Detroit, Michigan",Detroit Pistons,DET,48201,42.341111,-83.055
Madison Square Garden,"New York, New York",New York Knicks,NYK,10001,40.750556,-73.993611
Moda Center,"Portland, Oregon",Portland Trail Blazers,POR,97227,45.531667,-122.666667
Paycom Center,"Oklahoma City, Oklahoma",Oklahoma City Thunder,OKC,73102,35.463333,-97.515
Rocket Mortgage FieldHouse,"Cleveland, Ohio",Cleveland Cavaliers,CLE,44115,41.496389,-81.688056
Scotiabank Arena,"Toronto, Ontario",Toronto Raptors,TOR,M5J 2X2,43.643333,-79.379167
Smoothie King Center,"New Orleans, Louisiana",New Orleans Pelicans,NOP,70113,29.948889,-90.081944
Spectrum Center,"Charlotte, North Carolina",Charlotte Hornets,CHA,28202,35.225,-80.839167
State Farm Arena,"Atlanta, Georgia",Atlanta Hawks,ATL,30303,33.757222,-84.396389
Target Center,"Minneapolis, Minnesota",Minnesota Timberwolves,MIN,55403,44.979444,-93.276111
TD Garden,"Boston, Massachusetts",Boston Celtics,BOS,2114,42.366303,-71.062228
Toyota Center,"Houston, Texas",Houston Rockets,HOU,77002,29.750833,-95.362222
United Center,"Chicago, Illinois",Chicago Bulls,CHI,60612,41.880556,-87.674167
Wells Fargo Center,"Philadelphia, Pennsylvania",Philadelphia 76ers,PHI,19148,39.901111,-75.171944
T-Mobile Arena,"Las Vegas, Nevada",In-Season Tournament,LAS,89109,36.102778,-115.178333
Accor Arena,"Paris, FR",Paris,PAR,0,48.838611,2.378611
Moody Center,"Austin, Texas",Austin,AUS,78712,30.280972,-97.730472
